algorithm,string1,string2,function,time,memory,result
recursive,CCA,ACB,compute_lcs_recursive,0.20189785957336426,0.0,A
memoized,CCA,ACB,<lambda>,0.20171284675598145,0.0,A
dynamic,CCA,ACB,compute_lcs_dynamic,0.20084071159362793,0.0,A
recursive,DABAB,BDDCD,compute_lcs_recursive,0.2013533115386963,0.0,B
memoized,DABAB,BDDCD,<lambda>,0.20131587982177734,0.0,B
dynamic,DABAB,BDDCD,compute_lcs_dynamic,0.2102956771850586,0.0,B
recursive,BDABBC,CAAADA,compute_lcs_recursive,0.20184087753295898,0.0,DA
memoized,BDABBC,CAAADA,<lambda>,0.20116186141967773,0.0,DA
dynamic,BDABBC,CAAADA,compute_lcs_dynamic,0.20172929763793945,0.0,DA
recursive,CDCDAABC,BAADABAB,compute_lcs_recursive,0.20358586311340332,0.0,DAAB
memoized,CDCDAABC,BAADABAB,<lambda>,0.20259666442871094,0.00390625,DAAB
dynamic,CDCDAABC,BAADABAB,compute_lcs_dynamic,0.20250487327575684,0.0,DAAB
recursive,DDBDBCCADC,BBADACBDDA,compute_lcs_recursive,0.20508527755737305,0.0,BBADC
memoized,DDBDBCCADC,BBADACBDDA,<lambda>,0.20095276832580566,0.0,BBADC
dynamic,DDBDBCCADC,BBADACBDDA,compute_lcs_dynamic,0.20252537727355957,0.0,BBADC
recursive,ABDBDBDBAADAA,DDBCADADADBAC,compute_lcs_recursive,0.2434704303741455,0.0,DDBAADAA
memoized,ABDBDBDBAADAA,DDBCADADADBAC,<lambda>,0.20167183876037598,0.00390625,DDBAADAA
dynamic,ABDBDBDBAADAA,DDBCADADADBAC,compute_lcs_dynamic,0.20750832557678223,0.0,DDBAADAA
recursive,CCDDAAADACAABCC,ABCDCBBCDBDADCB,compute_lcs_recursive,1.4468235969543457,0.0,CCDDADCB
memoized,CCDDAAADACAABCC,ABCDCBBCDBDADCB,<lambda>,0.2023630142211914,0.01171875,CCDDADCB
dynamic,CCDDAAADACAABCC,ABCDCBBCDBDADCB,compute_lcs_dynamic,0.2027440071105957,0.00390625,CCDDADCB
recursive,CDACDBCAACABBCCCBCAD,ABACBCBBCDCADCBACADA,compute_lcs_recursive,7.90017557144165,0.00390625,ABACBBCCCBCAD
memoized,CDACDBCAACABBCCCBCAD,ABACBCBBCDCADCBACADA,<lambda>,0.20429539680480957,0.0078125,ABACBBCCCBCAD
dynamic,CDACDBCAACABBCCCBCAD,ABACBCBBCDCADCBACADA,compute_lcs_dynamic,0.20169329643249512,0.0078125,ABACBBCCCBCAD
